S0-min
O2-O5	2.542
O5-H14	1.011
O2-H14	1.603
O2-C1	1.255
C1-C3	1.456
C3-C4	1.382
C4-O5	1.331
C1-C6	1.513
C4-C10	1.498
O2C1C3	121.8
C1C3C4	119.7
C3C4O5	122.4
C3pyr	-0.0
O2C1C3C4	-0.0
C1C3C4O5	0.0
SOA	363.9
H-coord	-0.591
BLA	-0.150
pyrM	-0.008

S1-min
O2-O5	2.745
O5-H14	0.973
O2-H14	1.926
O2-C1	1.352
C1-C3	1.405
C3-C4	1.399
C4-O5	1.369
C1-C6	1.505
C4-C10	1.494
O2C1C3	120.1
C1C3C4	126.2
C3C4O5	123.9
C3pyr	0.3
O2C1C3C4	1.7
C1C3C4O5	1.3
SOA	370.2
H-coord	-0.953
BLA	-0.023
pyrM	-0.585

T1-min
O2-O5	2.805
O5-H14	0.980
O2-H14	1.984
O2-C1	1.244
C1-C3	1.458
C3-C4	1.499
C4-O5	1.373
C1-C6	1.515
C4-C10	1.493
O2C1C3	119.4
C1C3C4	119.9
C3C4O5	113.5
C3pyr	8.2
O2C1C3C4	-9.1
C1C3C4O5	54.2
SOA	352.8
H-coord	-1.004
BLA	-0.088
pyrM	31.054

MECI-HTI-asym-ecdown
O2-O5	2.477
O5-H14	1.066
O2-H14	1.454
O2-C1	1.309
C1-C3	1.450
C3-C4	1.474
C4-O5	1.328
C1-C6	1.503
C4-C10	1.489
O2C1C3	118.6
C1C3C4	120.8
C3C4O5	117.8
C3pyr	-0.0
O2C1C3C4	-0.0
C1C3C4O5	-0.0
SOA	357.1
H-coord	-0.388
BLA	0.005
pyrM	-0.000

MECI-HTI-asym-stag
O2-O5	2.480
O5-H14	1.059
O2-H14	1.465
O2-C1	1.312
C1-C3	1.452
C3-C4	1.466
C4-O5	1.330
C1-C6	1.507
C4-C10	1.489
O2C1C3	118.5
C1C3C4	121.0
C3C4O5	118.0
C3pyr	-0.1
O2C1C3C4	0.3
C1C3C4O5	0.1
SOA	357.4
H-coord	-0.406
BLA	-0.003
pyrM	-0.011

MECI-HTI-asym-ecup
O2-O5	2.497
O5-H14	1.046
O2-H14	1.499
O2-C1	1.311
C1-C3	1.446
C3-C4	1.472
C4-O5	1.333
C1-C6	1.509
C4-C10	1.490
O2C1C3	118.7
C1C3C4	121.2
C3C4O5	118.2
C3pyr	-0.0
O2C1C3C4	0.1
C1C3C4O5	-0.0
SOA	358.1
H-coord	-0.453
BLA	0.005
pyrM	-0.084

MECI-HTI-sym-ecdown
O2-O5	2.370
O5-H14	1.201
O2-H14	1.203
O2-C1	1.336
C1-C3	1.440
C3-C4	1.440
C4-O5	1.336
C1-C6	1.496
C4-C10	1.496
O2C1C3	117.9
C1C3C4	119.3
C3C4O5	117.8
C3pyr	0.0
O2C1C3C4	-0.1
C1C3C4O5	-0.0
SOA	355.0
H-coord	-0.002
BLA	-0.000
pyrM	-0.034

MECI-HTI-sym-ecup
O2-O5	2.355
O5-H14	1.195
O2-H14	1.196
O2-C1	1.343
C1-C3	1.433
C3-C4	1.433
C4-O5	1.343
C1-C6	1.500
C4-C10	1.500
O2C1C3	117.9
C1C3C4	119.3
C3C4O5	117.8
C3pyr	0.0
O2C1C3C4	0.0
C1C3C4O5	0.0
SOA	355.0
H-coord	-0.000
BLA	-0.000
pyrM	0.000

MECI-S2S1-tw
O2-O5	3.490
O5-H14	0.971
O2-H14	3.106
O2-C1	1.308
C1-C3	1.376
C3-C4	1.469
C4-O5	1.383
C1-C6	1.522
C4-C10	1.493
O2C1C3	126.1
C1C3C4	125.0
C3C4O5	118.7
C3pyr	2.1
O2C1C3C4	-0.1
C1C3C4O5	78.6
SOA	369.9
H-coord	-2.134
BLA	0.017
pyrM	21.026

MECI-S1S0-tw
O2-O5	3.617
O5-H14	3.316
O2-H14	0.972
O2-C1	1.384
C1-C3	1.473
C3-C4	1.468
C4-O5	1.236
C1-C6	1.494
C4-C10	1.520
O2C1C3	117.7
C1C3C4	121.9
C3C4O5	121.0
C3pyr	-0.7
O2C1C3C4	99.0
C1C3C4O5	-6.1
SOA	360.6
H-coord	2.344
BLA	-0.143
pyrM	-0.239

CIpy
O2-O5	2.625
O5-H14	1.713
O2-H14	1.002
O2-C1	1.357
C1-C3	1.526
C3-C4	1.469
C4-O5	1.250
C1-C6	1.492
C4-C10	1.506
O2C1C3	106.1
C1C3C4	116.7
C3C4O5	119.6
C3pyr	-45.8
O2C1C3C4	55.6
C1C3C4O5	-11.2
SOA	342.5
H-coord	0.711
BLA	-0.049
pyrM	-5.283

